Date,XLE,XLK
2020-01-02,47.41817092895508,88.83304595947266
2020-01-03,47.277278900146484,87.83428192138672
2020-01-06,47.64515686035156,88.04356384277344
2020-01-07,47.51992416381836,88.00550079345703
2020-01-08,46.737186431884766,88.94720458984375
2020-01-09,47.081600189208984,89.9554672241211
2020-01-10,46.81545639038086,89.74618530273438
2020-01-13,46.83111572265625,90.8686294555664
2020-01-14,46.838951110839844,90.44058227539062
2020-01-15,46.49454879760742,90.54522705078125
2020-01-16,46.57280349731445,91.76274108886719
2020-01-17,46.275367736816406,92.38102722167969
2020-01-21,45.445674896240234,92.34297180175781
2020-01-22,45.00733184814453,92.6759262084961
2020-01-23,44.83513259887695,93.11347961425781
2020-01-24,44.31853485107422,92.6759262084961
2020-01-27,43.08963394165039,90.46910858154297
2020-01-28,43.28532409667969,92.20032501220703
2020-01-29,42.831329345703125,92.4381103515625
2020-01-30,43.17573547363281,93.23713684082031
2020-01-31,41.829429626464844,90.67839813232422
2020-02-03,41.28151321411133,91.87689971923828
2020-02-04,41.43022918701172,94.28343200683594
2020-02-05,42.98786544799805,94.83515167236328
2020-02-06,42.5495491027832,95.70074462890625
2020-02-07,42.252105712890625,94.8256607055664
2020-02-10,42.040775299072266,96.10977172851562
2020-02-11,42.51041030883789,95.7863540649414
2020-02-12,43.08181381225586,96.82316589355469
2020-02-13,42.9487419128418,96.56633758544922
2020-02-14,42.72175216674805,96.9848861694336
2020-02-18,42.369529724121094,96.62340545654297
2020-02-19,42.93309020996094,97.77438354492188
2020-02-20,42.88612747192383,96.75658416748047
2020-02-21,42.37734603881836,94.58784484863281
2020-02-24,40.42051315307617,90.67839813232422
2020-02-25,38.635860443115234,87.77721405029297
2020-02-26,37.46959686279297,88.1767349243164
2020-02-27,35.46578598022461,83.4206771850586
2020-02-28,35.4344596862793,84.0580062866211
2020-03-02,36.866878509521484,88.91865539550781
2020-03-03,35.73974609375,85.54187774658203
2020-03-04,36.58509826660156,89.21353149414062
2020-03-05,35.246620178222656,86.39798736572266
2020-03-06,33.26628494262695,84.57167053222656
2020-03-09,26.566070556640625,78.15101623535156
2020-03-10,27.82627296447754,83.36360931396484
2020-03-11,26.354734420776367,79.42562866210938
2020-03-12,23.067237854003906,71.6733169555664
2020-03-13,25.1962833404541,80.08195495605469
2020-03-16,21.76789665222168,69.01943969726562
2020-03-17,21.91661834716797,73.71839141845703
2020-03-18,18.770015716552734,70.94087982177734
2020-03-19,20.045879364013672,71.19768524169922
2020-03-20,20.241561889648438,67.93505859375
2020-03-23,18.861928939819336,67.31452178955078
2020-03-24,21.886878967285156,74.2085189819336
2020-03-25,22.919198989868164,74.1129150390625
2020-03-26,24.319644927978516,78.70252990722656
2020-03-27,22.67112159729004,75.14557647705078
2020-03-30,22.9032039642334,78.31047058105469
2020-03-31,23.255308151245117,76.84754943847656
2020-04-01,22.102949142456055,73.18540954589844
2020-04-02,24.127582550048828,74.89696502685547
2020-04-03,23.87150001525879,73.73999786376953
2020-04-06,25.135894775390625,80.03160858154297
2020-04-07,25.672067642211914,79.31449890136719
2020-04-08,27.38460922241211,81.44672393798828
2020-04-09,27.13652229309082,81.46586608886719
2020-04-13,27.048500061035156,81.64752960205078
2020-04-14,26.92045783996582,85.07061767578125
2020-04-15,25.656064987182617,83.21566772460938
2020-04-16,24.559717178344727,84.22920989990234
2020-04-17,27.168533325195312,85.34793090820312
2020-04-20,26.320274353027344,83.9805908203125
2020-04-21,25.856121063232422,80.4618911743164
2020-04-22,26.776418685913086,83.55986785888672
2020-04-23,27.64069175720215,82.98616790771484
2020-04-24,27.70470428466797,84.74552154541016
2020-04-27,28.304899215698242,85.47221374511719
2020-04-28,28.953100204467773,84.33439636230469
2020-04-29,31.0977725982666,87.79570770263672
2020-04-30,30.4095516204834,87.4036865234375
2020-05-01,28.689022064208984,85.00370788574219
2020-05-04,29.68132781982422,86.13196563720703
2020-05-05,29.70532989501953,87.31763458251953
2020-05-06,28.929092407226562,87.99649810791016
2020-05-07,29.68132781982422,89.3160400390625
2020-05-08,31.033748626708984,90.6259765625
2020-05-11,30.489574432373047,91.2283935546875
2020-05-12,29.953420639038086,89.3447494506836
2020-05-13,28.592988967895508,87.8052978515625
2020-05-14,28.913082122802734,88.92400360107422
2020-05-15,28.801050186157227,89.37342071533203
2020-05-18,31.153799057006836,91.56304931640625
2020-05-19,30.281517028808594,91.2283935546875
2020-05-20,31.489896774291992,93.22676849365234
2020-05-21,30.985733032226562,91.9263916015625
2020-05-22,30.79367446899414,92.26106262207031
2020-05-26,31.649946212768555,92.1654281616211
2020-05-27,32.058074951171875,92.69132232666016
2020-05-28,31.161792755126953,92.50965118408203
2020-05-29,31.01774787902832,93.67617797851562
2020-06-01,31.561914443969727,93.64749908447266
2020-06-02,32.442195892333984,94.52717590332031
2020-06-03,33.394493103027344,95.263427734375
2020-06-04,33.40249252319336,94.47933959960938
2020-06-05,35.88327407836914,96.96540832519531
2020-06-08,37.49978256225586,97.45304107666016
2020-06-09,36.091339111328125,97.91201782226562
2020-06-10,34.314788818359375,99.54708099365234
2020-06-11,31.081768035888672,93.83872985839844
2020-06-12,31.866010665893555,95.0530776977539
2020-06-15,31.962047576904297,95.97099304199219
2020-06-16,32.8823356628418,98.01719665527344
2020-06-17,31.76198959350586,97.99807739257812
2020-06-18,32.15411376953125,98.43791198730469
2020-06-19,31.665950775146484,97.75902557373047
2020-06-22,31.81265640258789,99.60089111328125
2020-06-23,31.845073699951172,100.31999969482422
2020-06-24,30.07815170288086,98.0572280883789
