Date,XLE,XLK
2020-01-02,47.41816329956055,88.83306121826172
2020-01-03,47.277278900146484,87.83428192138672
2020-01-06,47.64516067504883,88.0435562133789
2020-01-07,47.519920349121094,88.00547790527344
2020-01-08,46.73719024658203,88.94718933105469
2020-01-09,47.08159255981445,89.95545196533203
2020-01-10,46.815467834472656,89.74620819091797
2020-01-13,46.831119537353516,90.8686294555664
2020-01-14,46.83894348144531,90.44058227539062
2020-01-15,46.49454116821289,90.54522705078125
2020-01-16,46.572811126708984,91.76274108886719
2020-01-17,46.27537536621094,92.38104248046875
2020-01-21,45.445674896240234,92.343017578125
2020-01-22,45.0073356628418,92.67591094970703
2020-01-23,44.835140228271484,93.11347198486328
2020-01-24,44.318538665771484,92.67591094970703
2020-01-27,43.089637756347656,90.4691162109375
2020-01-28,43.28532791137695,92.20033264160156
2020-01-29,42.83133316040039,92.4381103515625
2020-01-30,43.175743103027344,93.23709869384766
2020-01-31,41.82943344116211,90.67839050292969
2020-02-03,41.28150939941406,91.87690734863281
2020-02-04,41.43023681640625,94.283447265625
2020-02-05,42.987876892089844,94.83515167236328
2020-02-06,42.54955291748047,95.70074462890625
2020-02-07,42.252105712890625,94.82564544677734
2020-02-10,42.04076385498047,96.10975646972656
2020-02-11,42.51041793823242,95.78634643554688
2020-02-12,43.08180236816406,96.82316589355469
2020-02-13,42.94873809814453,96.56632232666016
2020-02-14,42.721744537353516,96.98486328125
2020-02-18,42.36952209472656,96.62342071533203
2020-02-19,42.9330940246582,97.77437591552734
2020-02-20,42.88612747192383,96.75658416748047
2020-02-21,42.377342224121094,94.58785247802734
2020-02-24,40.420501708984375,90.67839050292969
2020-02-25,38.63587188720703,87.77720642089844
2020-02-26,37.469581604003906,88.17671966552734
2020-02-27,35.46578598022461,83.42068481445312
2020-02-28,35.434471130371094,84.05799865722656
2020-03-02,36.86688232421875,88.91866302490234
2020-03-03,35.7397346496582,85.54186248779297
2020-03-04,36.58509826660156,89.21353149414062
2020-03-05,35.246612548828125,86.39795684814453
2020-03-06,33.266292572021484,84.57166290283203
2020-03-09,26.56607437133789,78.15100860595703
2020-03-10,27.82628059387207,83.36360931396484
2020-03-11,26.354736328125,79.42562103271484
2020-03-12,23.06723976135254,71.67329406738281
2020-03-13,25.1962833404541,80.08194732666016
2020-03-16,21.767898559570312,69.01941680908203
2020-03-17,21.916616439819336,73.71839141845703
2020-03-18,18.770017623901367,70.94087982177734
2020-03-19,20.045875549316406,71.19770812988281
2020-03-20,20.241565704345703,67.93507385253906
2020-03-23,18.861923217773438,67.31452941894531
2020-03-24,21.886877059936523,74.20850372314453
2020-03-25,22.919204711914062,74.11290740966797
2020-03-26,24.31964111328125,78.70254516601562
2020-03-27,22.671127319335938,75.14554595947266
2020-03-30,22.903196334838867,78.31049346923828
2020-03-31,23.255308151245117,76.84754180908203
2020-04-01,22.102949142456055,73.18541717529297
2020-04-02,24.127580642700195,74.89697265625
2020-04-03,23.871501922607422,73.7399673461914
2020-04-06,25.135900497436523,80.03158569335938
2020-04-07,25.67207145690918,79.3144760131836
2020-04-08,27.38460922241211,81.44674682617188
2020-04-09,27.13652801513672,81.46587371826172
2020-04-13,27.048500061035156,81.64753723144531
2020-04-14,26.920454025268555,85.07063293457031
2020-04-15,25.656064987182617,83.21565246582031
2020-04-16,24.559717178344727,84.22919464111328
2020-04-17,27.168540954589844,85.3479232788086
2020-04-20,26.320270538330078,83.98058319091797
2020-04-21,25.856128692626953,80.4618911743164
2020-04-22,26.776418685913086,83.55988311767578
2020-04-23,27.640687942504883,82.98616790771484
2020-04-24,27.7047061920166,84.74552917480469
2020-04-27,28.304893493652344,85.47222900390625
2020-04-28,28.953096389770508,84.33438110351562
2020-04-29,31.0977725982666,87.79570770263672
2020-04-30,30.40955924987793,87.4037094116211
2020-05-01,28.689008712768555,85.00369262695312
2020-05-04,29.681325912475586,86.1319580078125
2020-05-05,29.70533561706543,87.31764221191406
2020-05-06,28.929092407226562,87.99652862548828
2020-05-07,29.681325912475586,89.31602478027344
2020-05-08,31.033754348754883,90.62599182128906
2020-05-11,30.489582061767578,91.22837829589844
2020-05-12,29.953414916992188,89.3447265625
2020-05-13,28.592981338500977,87.80528259277344
2020-05-14,28.913084030151367,88.92400360107422
2020-05-15,28.801055908203125,89.37339782714844
2020-05-18,31.15378761291504,91.56304168701172
2020-05-19,30.281517028808594,91.22837829589844
2020-05-20,31.489896774291992,93.2267837524414
2020-05-21,30.985740661621094,91.92639923095703
2020-05-22,30.79367446899414,92.26104736328125
2020-05-26,31.649944305419922,92.16545104980469
2020-05-27,32.05807876586914,92.69132232666016
2020-05-28,31.16179084777832,92.50963592529297
2020-05-29,31.01774024963379,93.67617797851562
2020-06-01,31.561920166015625,93.64747619628906
2020-06-02,32.44219207763672,94.52718353271484
2020-06-03,33.39449691772461,95.26342010498047
2020-06-04,33.40250015258789,94.47937774658203
2020-06-05,35.883277893066406,96.96540832519531
2020-06-08,37.499786376953125,97.45304870605469
2020-06-09,36.091339111328125,97.91201782226562
2020-06-10,34.31479263305664,99.54707336425781
2020-06-11,31.08176612854004,93.83871459960938
2020-06-12,31.866010665893555,95.0530776977539
2020-06-15,31.96204948425293,95.97100830078125
2020-06-16,32.882328033447266,98.01720428466797
2020-06-17,31.76198959350586,97.9980697631836
2020-06-18,32.15410614013672,98.43790435791016
2020-06-19,31.66594696044922,97.75901794433594
2020-06-22,31.812652587890625,99.60089111328125
2020-06-23,31.845073699951172,100.31998443603516
2020-06-24,30.07815933227539,98.05720520019531
